"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1958652,"March 22, 2021",Colorado,Boulder,"3600 Table Mesa Dr",10,1,N/A
1959549,"March 22, 2021",Michigan,Detroit,"13300 block of Davidson St",1,3,N/A
1957188,"March 20, 2021",Texas,Houston,"10266 North Fwy",0,5,N/A
1957226,"March 20, 2021",Texas,Dallas,"10333 Technology Blvd",1,7,N/A
1957252,"March 20, 2021",Pennsylvania,Philadelphia,"4234 Germantown Ave",1,5,N/A
1956081,"March 18, 2021",Oregon,Gresham,"750 E Powell Blvd",0,4,N/A
1955948,"March 18, 2021",Louisiana,"New Orleans","2400 Annette St",0,4,N/A
1956001,"March 17, 2021",California,Stockton,"Oro Ave and E Main St",0,5,N/A
1954379,"March 16, 2021",Georgia,Acworth,"6468 Hwy 92",8,1,N/A
1954950,"March 16, 2021",Arizona,Phoenix,"6215 W Elm St",4,1,N/A
1953309,"March 15, 2021",Indiana,Indianapolis,"2300 block of N Harding St",1,4,N/A
1953202,"March 14, 2021",Florida,Tampa,"10101 US-92",0,4,N/A
1952662,"March 14, 2021",Illinois,Chicago,"2600 block of E 77th St",0,4,N/A
1952281,"March 14, 2021",Illinois,Chicago,"6798 block of S South Chicago Ave",2,13,N/A
1952151,"March 13, 2021","New York",Brooklyn,"917 Flushing Ave",0,5,N/A
1951681,"March 13, 2021",Florida,Orlando,"200 block of Ring Rd",1,3,N/A
1952161,"March 13, 2021",Indiana,Indianapolis,"300 block of N Randolph St",4,1,N/A
1951738,"March 13, 2021",Virginia,Richmond,"5100 block of Richmond Henrico Tpke",2,4,N/A
1951476,"March 12, 2021","North Carolina",Greensboro,"100 block of Huffman St",1,3,N/A
1951383,"March 12, 2021",Texas,Austin,"7408 Cameron Rd",0,4,N/A
1950346,"March 11, 2021","New Mexico","Ohkay Owingeh (Chamita)","89 Rio Arriba Co Rd 56",1,3,N/A
1950471,"March 11, 2021",Pennsylvania,Philadelphia,"1400 block of N 76th St",2,2,N/A
1949977,"March 10, 2021",Texas,Houston,"6300 Ranchester Dr",3,1,N/A
1948233,"March 8, 2021",Florida,Clearwater,"US-19 ALT and Drew St",1,3,N/A
1948470,"March 7, 2021",Mississippi,Edwards,"607 Wallace Dr",0,4,N/A
1947241,"March 6, 2021",California,"Yuba City","Countryside Dr and Littlejohn Dr",2,3,N/A
1945999,"March 6, 2021","North Carolina",Fayetteville,"200 block of Shads Ford Blvd",1,4,N/A
1946991,"March 5, 2021",California,Compton,"600 block of N Long Beach Blvd",1,4,N/A
1944507,"March 4, 2021","District of Columbia",Washington,"3900 Martin Luther King Jr Ave SW",0,5,N/A
1943986,"March 3, 2021",Pennsylvania,Erie,"2105 Buffalo Rd",2,3,N/A
1941382,"February 28, 2021",Ohio,Cincinnati,"3600 block of Idlewild Ave",3,3,N/A
1941669,"February 28, 2021",Indiana,"East Chicago","1205 W Chicago Ave",0,4,N/A
1940791,"February 28, 2021",Delaware,Dover,"21 S Little Creek Rd",0,4,N/A
1941647,"February 28, 2021","South Carolina",Mccormick,"437 Talbert Rd",0,4,N/A
1941444,"February 28, 2021",Louisiana,Shreveport,"4914 Mansfield Rd",0,5,N/A
1941210,"February 28, 2021",Texas,Houston,"13484 Northwest Fwy",0,4,N/A
1943271,"February 27, 2021",Mississippi,Columbus,"1200 block of 7th St S",0,4,N/A
1940190,"February 27, 2021",Mississippi,Pattison,"Pattison-Tillman Rd",2,3,N/A
1940069,"February 26, 2021",Texas,Houston,"8708 Beechnut St",1,5,N/A
1939789,"February 26, 2021",Louisiana,"Baton Rouge","4700 block of Paige St",0,4,N/A
1939958,"February 26, 2021",California,"San Diego","841 S 45th St",1,3,N/A
1934704,"February 21, 2021",Missouri,Kennett,"1615 1st St",1,4,N/A
1935235,"February 21, 2021","North Carolina",Teachey,"Thomas Smith Ln and Bay Rd",0,4,N/A
1934225,"February 20, 2021",Pennsylvania,"Norristown (East Norriton)","2912 Swede Rd",1,4,N/A
1933975,"February 20, 2021",Colorado,"Grand Junction","1000 block of Teller Ave",1,3,N/A
1934181,"February 20, 2021",Illinois,Springfield,"1100 block of S Grand Ave W",1,4,N/A
1934077,"February 20, 2021",Louisiana,Metairie,"6719 Airline Dr",3,2,N/A
1932479,"February 18, 2021",Louisiana,"Baton Rouge","2047 N Foster Dr",1,3,N/A
1931288,"February 17, 2021",Pennsylvania,Philadelphia,"5597 Old York Rd",0,8,N/A
1930463,"February 16, 2021",Florida,"Saint Petersburg","2968 Emerson Ave S",3,1,N/A
1928557,"February 13, 2021",California,"San Francisco","3rd St and Quesada Ave",0,6,N/A
1928594,"February 13, 2021",Indiana,Indianapolis,"3800 block of N Sherman Dr",0,4,N/A
1928149,"February 13, 2021",California,Oakland,"1000 block of Washington St",0,6,N/A
1928205,"February 13, 2021","North Carolina",Cary,"101 Reed St",1,3,N/A
1926742,"February 11, 2021",Georgia,Columbus,"2001 South Lumpkin Rd",1,4,N/A
1926701,"February 10, 2021",Georgia,Atlanta,"62 Harwell Rd NW",0,4,N/A
1924892,"February 9, 2021",Texas,Houston,"945 W Little York Rd",0,4,N/A
1924338,"February 9, 2021",Minnesota,Buffalo,"755 Crossroads Campus Dr",1,4,N/A
1921939,"February 6, 2021",Tennessee,Murfreesboro,"Ewing Blvd and West St",1,4,N/A
1923786,"February 6, 2021",Louisiana,Thibodaux,"1100 block of Tiger Dr",0,4,N/A
1921768,"February 6, 2021",Illinois,Bloomingdale,"250 W Schick Rd",1,5,N/A
1922354,"February 6, 2021",Washington,Tacoma,"3634 E McKinley Ave",1,3,N/A
1921641,"February 5, 2021",Pennsylvania,Mohnton,"360 E Wyomissing Ave",1,3,N/A
1924951,"February 5, 2021",Mississippi,Benoit,"1017 Lake Bolivar Rd",3,1,N/A
1920771,"February 4, 2021","North Carolina","High Point","2912 W English Rd",2,3,N/A
1919399,"February 3, 2021",Tennessee,Memphis,"800 block of Olympic St",1,3,N/A
1919696,"February 3, 2021",Colorado,"Oak Creek","200 block of Wild Hogg Dr",3,2,N/A
1917918,"February 2, 2021",Florida,"Fort Lauderdale (Sunrise)","10100 Reflections Blvd W",3,3,N/A
1917909,"February 2, 2021",Oklahoma,Muskogee,"903 Indiana St",6,1,N/A
1917661,"February 1, 2021","New York",Rochester,"400 block of Lyell Avenue",1,3,N/A
1916468,"January 31, 2021",Illinois,Chicago,"W Congress Pkwy and S Independence Blvd",0,4,N/A
1916374,"January 30, 2021","New York",Albany,"200 block of Central Ave",1,4,N/A
1914798,"January 29, 2021",Pennsylvania,"Mc Kees Rocks (Mckees Rocks)","824 Island Ave",2,3,N/A
1914942,"January 28, 2021",Michigan,Flint,"1900 block of Tebo St",1,4,N/A
1913708,"January 27, 2021",California,"Santa Ana","1614 S Standard Ave",0,4,N/A
1911026,"January 25, 2021","District of Columbia",Washington,"1406 Good Hope Rd SE",1,4,N/A
1910136,"January 24, 2021",Indiana,Indianapolis,"3540 Adams St",5,1,N/A
1910619,"January 24, 2021",Nevada,"Las Vegas","W Wilson Ave and H St",0,5,N/A
1909849,"January 22, 2021",Kentucky,Covington,"217 E Martin Luther King Jr Blvd",0,5,N/A
1908542,"January 21, 2021",California,Oakland,"107th Ave and Apricot St",1,3,N/A
1905423,"January 18, 2021",Pennsylvania,Tobyhanna,"960 PA-196",0,4,N/A
1904063,"January 17, 2021",Arizona,Phoenix,"2340 W Northern Ave",0,5,N/A
1904036,"January 17, 2021",Arizona,Phoenix,"2236 E University Dr",1,6,N/A
1905360,"January 16, 2021",Illinois,Kankakee,"600 block of N Evergreen Ave",0,5,N/A
1903058,"January 15, 2021",Pennsylvania,Philadelphia,"5000 block of N 10th St",0,4,N/A
1899819,"January 11, 2021",Florida,Miami,"2491 NE 58th St",0,4,N/A
1898261,"January 9, 2021",Illinois,Evanston,"100 Asbury Ave",6,2,N/A
1897878,"January 9, 2021",Texas,Houston,"5828 Martin Luther King Blvd",1,3,N/A
1896774,"January 7, 2021","District of Columbia",Washington,"1300 block of Columbia Rd NW",0,5,N/A
1896384,"January 6, 2021",Texas,Livingston,"201 Maple Ln",2,2,N/A
1896252,"January 6, 2021",Virginia,Manassas,"10010 Ellis Rd",3,3,N/A
1894822,"January 4, 2021",Louisiana,"New Orleans","1600 block of N Galvez St",0,4,N/A
1894979,"January 4, 2021",Florida,Tampa,"1225 S 78th St",0,5,N/A
1894941,"January 4, 2021",Florida,"Fort Lauderdale (Lauderhill)","1828 NW 38th Ave",0,7,N/A
1893953,"January 3, 2021",Oregon,Gresham,"NE 181st Ave and NE San Rafael St",0,4,N/A
1893327,"January 3, 2021",Texas,Houston,"2900 Travis St",1,4,N/A
1893754,"January 3, 2021",Florida,Miami,"3632 NW 25th Ave",0,6,N/A
1893601,"January 3, 2021",Louisiana,Shreveport,"6900 block of Jewella Ave",2,3,N/A
1893877,"January 3, 2021",California,"Santa Barbara","1200 block of Liberty St",2,2,N/A
1893744,"January 3, 2021",Florida,Miami,"10525 NW 24th Ave",0,8,N/A
1892034,"January 1, 2021",Arkansas,"Fort Smith","3211 Towson Ave",0,7,N/A
1892704,"January 1, 2021",Texas,Amarillo,"2650 Dumas Dr",1,3,N/A
1892114,"January 1, 2021",Iowa,"Sioux City","2637 S Walker St",1,4,N/A
1891720,"January 1, 2021",Illinois,Galesburg,"1000 block of Monroe St",0,4,N/A
1891461,"December 31, 2020",Indiana,Indianapolis,"8215 Center Run Road",1,3,N/A
1890946,"December 31, 2020",Oregon,"Happy Valley","9200 block of SE Idleman Rd",0,4,N/A
1886974,"December 26, 2020",Illinois,Rockford,"4007 E State St",3,3,N/A
1886913,"December 26, 2020",Florida,Tampa,"N 20th St and E 7th Ave",2,2,N/A
1887059,"December 26, 2020",Massachusetts,Lynn,"Washington St and Quincy Ter",1,5,N/A
1886849,"December 26, 2020",Florida,Miami,"NW 61st St and NW 13th Ave",1,3,N/A
1886372,"December 25, 2020",Florida,"Boynton Beach","Martin Luther King Jr Blvd and N Seacrest Blvd",1,4,N/A
1886721,"December 25, 2020",Arkansas,Atkins,"5180 Pine Ridge Rd",5,0,N/A
1886141,"December 24, 2020",Florida,Lakeland,"1500 block of Amos Ave",1,4,N/A
1885251,"December 22, 2020",Mississippi,Meridian,"Jeffrey Acres Rd",5,0,N/A
1882214,"December 20, 2020",Connecticut,Bridgeport,"456 Connecticut Ave",2,2,N/A
1881213,"December 19, 2020",Illinois,Chicago,"8936 S Cottage Grove Ave",0,6,N/A
1876727,"December 13, 2020","West Virginia",Elkview,"1384 Cemetery Hill Dr",4,0,N/A
1877043,"December 12, 2020",California,"San Bernardino","900 block of N Sierra Way",1,3,N/A
1876231,"December 12, 2020","New York",Copiague,"2336 Great Neck Rd",2,2,N/A
1876039,"December 12, 2020","New York",Brooklyn,"574 Warren St",0,4,N/A
1876552,"December 12, 2020",Maryland,"Hyattsville (Landover)","8600 block of Old Ardmore Rd",2,2,N/A
1877628,"December 10, 2020",Georgia,Tifton,"700 block of 17 1/2 St",0,4,N/A
1877122,"December 10, 2020",Mississippi,Jackson,"1805 Hospital Dr",0,5,N/A
1908063,"December 8, 2020","West Virginia",Williamsburg,"611 Flynns Creek Rd",6,0,N/A
1873798,"December 8, 2020",Louisiana,Lacombe,"28399 Palmer Dr",2,3,N/A
1870827,"December 6, 2020",Texas,Venus,"6100 N FM 157",0,6,N/A
1871627,"December 5, 2020",California,Hayward,"25000 block of Eldridge Ave",1,3,N/A
1870840,"December 5, 2020","North Carolina",Autryville,"10101 Gip Rd",0,6,N/A
1869748,"December 4, 2020",Illinois,Chicago,"4400 block of W Adams St",0,4,N/A
1867006,"December 1, 2020",Pennsylvania,Morrisville,"1 Makefield Rd",1,3,N/A
1866100,"November 30, 2020",Alaska,Palmer,"335 N Valley Way",4,0,N/A
1864683,"November 29, 2020",Mississippi,Grenada,"Highway 8 East",0,11,N/A
1865110,"November 29, 2020",Tennessee,Memphis,"3492 W Metropolitan Cir",2,3,N/A
1863726,"November 28, 2020","South Carolina",Aiken,"1695 Richland Ave E",1,10,N/A
1864205,"November 28, 2020","South Carolina",Conway,"3800 block of Golden Key Rd",0,5,N/A
1864177,"November 28, 2020",Louisiana,"New Orleans","7001 Lawrence Rd",0,4,N/A
1862947,"November 27, 2020",Georgia,Macon,"425 Cherry St",1,5,N/A
1863099,"November 27, 2020",Ohio,Toledo,"3257 Stickney Ave",0,6,N/A
1862603,"November 26, 2020",Nevada,Henderson,"870 E Lake Mead Pkwy",1,5,N/A
1859110,"November 22, 2020","New Jersey",Trenton,"Stuyvesant Ave and Hoffman Ave",0,4,N/A
1859390,"November 22, 2020","New York",Brooklyn,"15 Albany Ave",1,6,N/A
1858455,"November 22, 2020",Illinois,Chicago,"700 block of E 101st St",1,3,N/A
1859186,"November 22, 2020",Louisiana,"New Orleans","9232 Chef Menteur Hwy",1,3,N/A
1857439,"November 21, 2020",Illinois,Chicago,"W 79th St and S Justine St",0,6,N/A
1857947,"November 21, 2020",Arizona,Phoenix,"35th Ave and Earll Dr",1,4,N/A
1858965,"November 21, 2020",Nebraska,Bellevue,"1307 Cornhusker Rd",2,2,N/A
1857040,"November 20, 2020",Wisconsin,"Milwaukee (Wauwatosa)","2500 N Mayfair Rd",0,8,N/A
1856417,"November 19, 2020",Florida,"Haines City","422 N 15th St",1,3,N/A
1855276,"November 18, 2020",Texas,Houston,"11614 Manor Park Dr",3,2,N/A
1856338,"November 18, 2020","South Carolina",Florence,"500 block of Gaillard St",0,4,N/A
1854207,"November 17, 2020",Tennessee,Jackson,"Honey Bear Cove",0,4,N/A
1854149,"November 16, 2020",Florida,Miami,"200 block of S Biscayne River Dr",0,4,N/A
1853615,"November 16, 2020",Illinois,Chicago,"700 block of S Pulaski Rd",0,4,N/A
1854076,"November 16, 2020",Illinois,Chicago,"2700 block of S State St",0,4,N/A
1852831,"November 15, 2020",Louisiana,Shreveport,"300 block of Douglas St",0,5,N/A
1853089,"November 15, 2020",Georgia,Jonesboro,"Museum Cir",2,2,N/A
1852604,"November 14, 2020","South Carolina",Sumter,"1008 Marilyn Ave",3,1,N/A
1852853,"November 14, 2020",Missouri,Fulton,"1915 N Bluff St",0,4,N/A
1852161,"November 14, 2020",Ohio,Cincinnati,"400 block of Kings Run Dr",0,4,N/A
1852363,"November 14, 2020",California,Riverside,"La Sierra Avenue and Tin Mine Road",2,3,N/A
1850981,"November 12, 2020",Florida,Tampa,"1200 block of E Palifox St",2,4,N/A
1850693,"November 12, 2020","North Carolina",Gastonia,"1225 Union Rd",0,6,N/A
1849308,"November 10, 2020",Florida,Tampa,"N 50th St and Sligh Ave",1,7,N/A
1847840,"November 9, 2020",Texas,"Fort Worth","5310 E Rosedale St",0,4,N/A
1846712,"November 8, 2020",Virginia,"Virginia Beach","3700 block of Whitney Ct",0,4,N/A
1846494,"November 8, 2020",Tennessee,Nashville,"2nd Ave N and Commerce St",0,8,N/A
1846764,"November 7, 2020",Kansas,Ogden,"225 Riley Ave",0,4,N/A
1845690,"November 7, 2020","South Carolina","Rock Hill","241 Albright Rd",1,3,N/A
1845477,"November 6, 2020",Louisiana,"New Orleans","8622 Belfast St",2,2,N/A
1844573,"November 5, 2020",Ohio,Toledo,"2125 Parkwood Ave",3,2,N/A
1843360,"November 4, 2020",Missouri,"Jefferson City","1299 Lafayette St",0,4,N/A
1842362,"November 3, 2020",Nevada,Henderson,"1445 Stonelake Cove Ave",4,1,N/A
1842421,"November 2, 2020",Ohio,Mansfield,"136 Sturges Ave",0,5,N/A
1840534,"November 1, 2020","South Carolina",Hollywood,"7800 block of White Point Rd",0,6,N/A
1840265,"November 1, 2020",Indiana,Evansville,"664 E Illinois St",0,4,N/A
1840364,"November 1, 2020",Oklahoma,"Oklahoma City","10601 S Western Ave",1,3,N/A
1841432,"November 1, 2020","North Carolina","Winston Salem (Winston-salem)","3900 block of Glen Hi Rd",1,3,N/A
1840600,"November 1, 2020",Arizona,Tucson,"2500 block of E Aerospace Parkway",2,2,N/A
1840310,"November 1, 2020","New Jersey","Atlantic City","2721 Arctic Ave",1,4,N/A
1839628,"October 31, 2020",California,Sacramento,"2800 block of Normington Dr",0,4,N/A
1839576,"October 31, 2020",Washington,Sumner,"127th Ave E and Valley Ave E",0,5,N/A
1839462,"October 31, 2020",California,Anaheim,"1210 S State College Blvd",0,4,N/A
1840544,"October 31, 2020",Nevada,"North Las Vegas","3700 block of Iverson Ln",0,4,N/A
1840041,"October 31, 2020",Maryland,"College Park","7700 Baltimore Ave",0,7,N/A
1839112,"October 30, 2020",Maryland,Waldorf,"2177 Crain Hwy",1,3,N/A
1839065,"October 30, 2020",Illinois,Chicago,"11613 S Vincennes Ave",1,3,N/A
1838368,"October 29, 2020",Florida,"Winter Garden","Center St and 11th St",0,4,N/A
1837146,"October 28, 2020",Virginia,Roanoke,"1400 block of Rorer Ave SW",0,4,N/A
1837429,"October 28, 2020","New Jersey",Newark,"381 S 6th St",1,3,N/A
1834216,"October 25, 2020",Texas,"Fort Worth","1900 block of Carver Ave",2,3,N/A
1835030,"October 25, 2020",Texas,"San Antonio","2800 block of W Hutchins Pl",1,3,N/A
1834280,"October 25, 2020","North Carolina",Raleigh,"1731 Trawick Rd",1,3,N/A
1834617,"October 24, 2020",Mississippi,Greenwood,"W Martin Luther King Dr",2,8,N/A
1832014,"October 22, 2020",Florida,Miami,"1830 NW 50 St",1,3,N/A
1832977,"October 22, 2020",Louisiana,Rayne,I-10,0,5,N/A
1831995,"October 22, 2020",Massachusetts,Boston,"Columbia Rd and Stanwood St",0,4,N/A
1831091,"October 22, 2020",Maryland,Baltimore,"500 block of W Franklin St",0,4,N/A
1830875,"October 21, 2020","New York",Brooklyn,"Nostrand Ave and Hawthorne St",1,5,N/A
1830822,"October 21, 2020",Mississippi,Canton,"1427 W Peace St",2,2,N/A
1830092,"October 20, 2020",Texas,Houston,"2117 Chenevert St",3,1,N/A
1829132,"October 19, 2020",Ohio,Mansfield,"136 Sturges Ave",0,5,N/A
1828796,"October 19, 2020",Louisiana,"New Orleans","2599 N Prieur St",1,3,N/A
1827437,"October 18, 2020",Maryland,Annapolis,"100 block of Clay St",1,3,N/A
1828080,"October 18, 2020",Illinois,Chicago,"200 block of N Sacramento Blvd",1,4,N/A
1828019,"October 18, 2020",Tennessee,Nashville,"1100 block of W Grove Ave",0,4,N/A
1826680,"October 17, 2020","New York",Lockport,"43 S Niagara St",1,5,N/A
1826613,"October 17, 2020","South Carolina","Rock Hill","524 N Anderson Rd",0,5,N/A
1826444,"October 16, 2020",California,"San Jose","175 S Capitol Ave",2,4,N/A
1825525,"October 16, 2020",Florida,Orlando,"2000 block of N Forsyth Rd",3,1,N/A
1826655,"October 16, 2020",Arizona,Mesa,"2115 Guadalupe Rd",1,6,N/A
1826675,"October 16, 2020",California,"San Francisco","200 block of Scherwin St",1,3,N/A
1824979,"October 15, 2020",Louisiana,Lafayette,"100 block of Laser Ln",2,2,N/A
1825896,"October 15, 2020",Maryland,Baltimore,"2900 block of Westwood Ave",0,7,N/A
1824073,"October 14, 2020",Pennsylvania,Philadelphia,"3900 block of  Buist Ave",0,4,N/A
1821574,"October 12, 2020","South Carolina","Myrtle Beach","1012 US-501",2,3,N/A
1821496,"October 11, 2020",Georgia,Atlanta,"330 W Peachtree St NW",0,4,N/A
1820156,"October 10, 2020",Illinois,Chicago,"100 block of S Keeler Ave",1,3,N/A
1823101,"October 10, 2020","South Carolina",Kingstree,"55 Williamsburg County Hwy",0,8,N/A
1819955,"October 10, 2020",Missouri,"Saint Louis (Jennings)","8800 block of Shannon Fox Cir",2,2,N/A
1818055,"October 8, 2020",Pennsylvania,Philadelphia,"4935 Frankford Ave",1,6,N/A
1816799,"October 7, 2020",Alaska,Anchorage,"200 block of McCarrey St",1,4,N/A
1817184,"October 7, 2020","New York",Brooklyn,"181 Hegeman Ave",1,3,N/A
1815308,"October 5, 2020","District of Columbia",Washington,"400 block of Orange St SE",1,3,N/A
1813872,"October 4, 2020",Indiana,Indianapolis,"5462 Massachusetts Ave",3,4,N/A
1814148,"October 4, 2020",Georgia,Atlanta,"1570 Joseph E Boone Blvd NW",1,5,N/A
1813306,"October 3, 2020",Tennessee,Clarksville,"100 block of Tiny Town Rd",0,5,N/A
1813583,"October 3, 2020",California,Sacramento,"Roanoke Ave and Haywood St",1,3,N/A
1812972,"October 2, 2020",California,"Los Angeles","51st St and Hoover St",0,4,N/A
1812838,"October 2, 2020",Washington,Seattle,"9700 block of 59th Ave S",0,4,N/A
1812049,"October 1, 2020",Michigan,Detroit,"15018 Houston Whittier St",0,5,N/A
1810696,"September 30, 2020","North Carolina",Greensboro,"700 block of Milton St",0,4,N/A
1810881,"September 30, 2020",Florida,Jacksonville,"12517 Beach Blvd",0,4,N/A
1810358,"September 30, 2020",Wisconsin,Milwaukee,"4217 W Fond du Lac Ave",0,7,N/A
1809910,"September 29, 2020",Pennsylvania,Philadelphia,"4500 block of N 19th St",0,5,N/A
1809484,"September 29, 2020",Ohio,Painesville,"100 block of Morse Ave",2,2,N/A
1807325,"September 28, 2020",Michigan,Detroit,"6609 Michigan Ave",0,6,N/A
1806806,"September 27, 2020",Ohio,Sandusky,"Hancock St and Neil St",1,3,N/A
1808628,"September 27, 2020",California,"San Bernardino","900 block of N Sierra Way",1,3,N/A
1807096,"September 27, 2020",Tennessee,Nashville,"619 Millwood Dr",0,4,N/A
1807046,"September 26, 2020",Pennsylvania,Philadelphia,"100 block of N Lindenwood St",0,4,N/A
1806035,"September 26, 2020",Alabama,Enterprise,"507 Glover Ave",1,3,N/A
1806002,"September 26, 2020",Iowa,Waterloo,"501 W 4th St",2,6,N/A
1805722,"September 26, 2020",Illinois,Chicago,"2400 block of W Lithuanian Plaza Ct",0,4,N/A
1806368,"September 26, 2020",Missouri,"Saint Louis","4700 block of Vernon Ave",0,5,N/A
1806500,"September 25, 2020",Pennsylvania,Philadelphia,"1300 block of Sanger St",0,4,N/A
1804511,"September 23, 2020",Georgia,Hampton,"1577 Glynn Ct",1,3,N/A
1802862,"September 23, 2020",Minnesota,Minneapolis,"200 W Broadway Ave",0,5,N/A
1800886,"September 21, 2020",Ohio,Struthers,"111 Perry St",1,4,N/A
1800549,"September 20, 2020","New York","Corona (Queens)","Merrick Blvd and Foch Blvd",0,4,N/A
1800514,"September 20, 2020",Connecticut,Stamford,"Ursula Pl and Dale St",1,3,N/A
1800026,"September 19, 2020","New York",Buffalo,"Glenwood Ave and Jefferson Ave",1,4,N/A
1799748,"September 19, 2020",Illinois,Chicago,"12200 block of S May St",0,4,N/A
1799703,"September 19, 2020",Illinois,Chicago,"6900 block of S Claremont Ave",0,4,N/A
1800188,"September 19, 2020","New Jersey",Plainfield,"523 W 3rd St",0,4,N/A
1799307,"September 19, 2020","New York",Rochester,"278 Pennsylvania Ave",2,14,N/A
1800192,"September 19, 2020","New Jersey",Paterson,"Elizabeth St and Getty Ave",0,5,N/A
1800779,"September 19, 2020",Arkansas,"West Memphis","900 block of Winchell St",0,5,N/A
1799160,"September 18, 2020",Arkansas,"Little Rock","5311 Mabelvale Pike",0,4,N/A
1797620,"September 16, 2020",Pennsylvania,Philadelphia,"1800 Wallace St",2,3,N/A
1796684,"September 15, 2020",California,"San Jose","600 block of S 8th St",2,4,N/A
1796638,"September 15, 2020",Illinois,Chicago,"3500 block of W Lawrence Ave",0,5,N/A
1795391,"September 14, 2020",Louisiana,Baker,"Burgess Dr",0,4,N/A
1794138,"September 13, 2020",Tennessee,Manchester,"I-24 and McMinnville Hwy",3,3,N/A
1793826,"September 13, 2020",Michigan,"Grand Rapids","3950 Stahl Dr SE",0,7,N/A
1793559,"September 13, 2020",Florida,Tampa,"5110 N 40th St",0,4,N/A
1794086,"September 13, 2020",Illinois,Chicago,"6100 block of S Throop St",1,3,N/A
1793521,"September 13, 2020","New Jersey","New Brunswick","32 Delafield St",2,7,N/A
